date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:34:41	228916/228916	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2017:34:41%20GMT	https://epicunicorn.wpenginepowered.com/	/home/unknown/Documents/Programming/ChrisScrape/archive/index-2.html	(from )
18:34:41	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2013%20Nov%202024%2017:34:41%20GMT	https://epicunicorn.wpenginepowered.com/xmlrpc.php	/home/unknown/Documents/Programming/ChrisScrape/archive/xmlrpc.php	(from https://epicunicorn.wpenginepowered.com/)
18:34:42	337/337	---MCZ	200	added ('OK')	text/css	etag:W/%226703f52e-151%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/useanyfont/uaf.css?ver=1728312622	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/useanyfont/uafeee3.css	(from https://epicunicorn.wpenginepowered.com/)
18:34:44	9427/9427	---M--	200	added ('OK')	image/gif	etag:%226731b8e5-24d3%22	https://epicunicorn.wpenginepowered.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://epicunicorn.wpenginepowered.com/)
18:34:44	10416/10416	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226731b8e5-28b0%22	http://epicunicorn.wpenginepowered.com/wp-content/themes/Divi/core/admin/fonts/modules/social/modules.eot	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/themes/Divi/core/admin/fonts/modules/social/modules.eot	(from https://epicunicorn.wpenginepowered.com/)
18:34:44	1772/1772	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22bba717ee204c906140dbd61902a9b375%22	https://epicunicorn.wpenginepowered.com/feed/	/home/unknown/Documents/Programming/ChrisScrape/archive/feed/index.html	(from https://epicunicorn.wpenginepowered.com/)
18:34:45	1737/1737	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22bba717ee204c906140dbd61902a9b375%22	https://epicunicorn.wpenginepowered.com/comments/feed/	/home/unknown/Documents/Programming/ChrisScrape/archive/comments/feed/index.html	(from https://epicunicorn.wpenginepowered.com/)
18:34:46	27817/27817	---MCZ	200	added ('OK')	text/css	etag:W/%2267334485-6ca9%22	https://epicunicorn.wpenginepowered.com/wp-content/et-cache/187/et-divi-dynamic-tb-193-tb-43-187.css?ver=1731413125	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/et-cache/187/et-divi-dynamic-tb-193-tb-43-1873a1d.css	(from https://epicunicorn.wpenginepowered.com/)
18:34:47	39895/39895	---MCZ	200	added ('OK')	application/json	date:Wed,%2013%20Nov%202024%2017:34:46%20GMT	https://epicunicorn.wpenginepowered.com/wp-json/wp/v2/pages/187	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-json/wp/v2/pages/187.json	(from https://epicunicorn.wpenginepowered.com/)
18:34:47	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2013%20Nov%202024%2017:34:47%20GMT	https://epicunicorn.wpenginepowered.com/xmlrpc.php?rsd	/home/unknown/Documents/Programming/ChrisScrape/archive/xmlrpc0db0.php	(from https://epicunicorn.wpenginepowered.com/)
18:34:48	218965/218965	---MCZ	200	added ('OK')	application/json	date:Wed,%2013%20Nov%202024%2017:34:47%20GMT	https://epicunicorn.wpenginepowered.com/wp-json/	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-json/index.html	(from https://epicunicorn.wpenginepowered.com/)
18:34:48	2167/2167	---MCZ	200	added ('OK')	application/json	date:Wed,%2013%20Nov%202024%2017:34:48%20GMT	https://epicunicorn.wpenginepowered.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fepicunicorn.wpenginepowered.com%2F	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-json/oembed/1.0/embed65f6.json	(from https://epicunicorn.wpenginepowered.com/)
18:34:49	2326/2326	---MCZ	200	added ('OK')	text/xml	date:Wed,%2013%20Nov%202024%2017:34:49%20GMT	https://epicunicorn.wpenginepowered.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fepicunicorn.wpenginepowered.com%2F&format=xml	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-json/oembed/1.0/embed7b5b	(from https://epicunicorn.wpenginepowered.com/)
18:34:51	908/908	---MCZ	200	added ('OK')	text/css	etag:W/%2267334485-38c%22	https://epicunicorn.wpenginepowered.com/wp-content/et-cache/187/et-core-unified-187.min.css?ver=1731413125	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/et-cache/187/et-core-unified-187.min3a1d.css	(from https://epicunicorn.wpenginepowered.com/)
18:34:52	10113/10113	---MCZ	200	added ('OK')	text/css	etag:W/%2267334485-2781%22	https://epicunicorn.wpenginepowered.com/wp-content/et-cache/187/et-core-unified-tb-193-tb-43-deferred-187.min.css?ver=1731413125	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/et-cache/187/et-core-unified-tb-193-tb-43-deferred-187.min3a1d.css	(from https://epicunicorn.wpenginepowered.com/)
18:34:53	232931/232931	---M--	200	added ('OK')	image/png	etag:%22671128dd-4bc15%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/pexels-marek-piwnicki-3907296-10050570-1.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/pexels-marek-piwnicki-3907296-10050570-1.png	(from https://epicunicorn.wpenginepowered.com/)
18:34:53	2167/2167	---M--	200	added ('OK')	image/png	etag:%226703f27c-10da%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/Logo.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/Logo.png	(from https://epicunicorn.wpenginepowered.com/)
18:34:54	105822/105822	---M--	200	added ('OK')	image/png	etag:%22670a66f1-23b3c%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/Group-664.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/Group-664.png	(from https://epicunicorn.wpenginepowered.com/)
18:34:56	230180/230180	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2017:34:55%20GMT	https://epicunicorn.wpenginepowered.com/inventnation/	/home/unknown/Documents/Programming/ChrisScrape/archive/inventnation/index.html	(from https://epicunicorn.wpenginepowered.com/)
18:34:56	142671/142671	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2017:34:55%20GMT	https://epicunicorn.wpenginepowered.com/influencer-power/	/home/unknown/Documents/Programming/ChrisScrape/archive/influencer-power/index.html	(from https://epicunicorn.wpenginepowered.com/)
18:34:56	147516/147516	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2017:34:55%20GMT	https://epicunicorn.wpenginepowered.com/pioneering-ai-revolution/	/home/unknown/Documents/Programming/ChrisScrape/archive/pioneering-ai-revolution/index.html	(from https://epicunicorn.wpenginepowered.com/)
18:34:56	139962/139962	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2017:34:55%20GMT	https://epicunicorn.wpenginepowered.com/mergers-acquisitions/	/home/unknown/Documents/Programming/ChrisScrape/archive/mergers-acquisitions/index.html	(from https://epicunicorn.wpenginepowered.com/)
18:34:56	156802/156802	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2017:34:55%20GMT	https://epicunicorn.wpenginepowered.com/press-media/	/home/unknown/Documents/Programming/ChrisScrape/archive/press-media/index.html	(from https://epicunicorn.wpenginepowered.com/)
18:34:56	451389/451389	---M--	200	added ('OK')	image/png	etag:%22670a67fa-6e33d%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/Group-665.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/Group-665.png	(from https://epicunicorn.wpenginepowered.com/)
18:34:59	261410/261410	---M--	200	added ('OK')	image/png	etag:%2267051e2f-47114%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/grafik-1.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/grafik-1.png	(from https://epicunicorn.wpenginepowered.com/)
18:34:59	3064/3064	---M--	200	added ('OK')	image/png	etag:%226704152b-1468%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/Client-logos-2.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/Client-logos-2.png	(from https://epicunicorn.wpenginepowered.com/)
18:35:00	256469/256469	---M--	200	added ('OK')	image/png	etag:%2267040d04-46267%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/section-image-1.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/section-image-1.png	(from https://epicunicorn.wpenginepowered.com/)
18:35:00	4197100/4197100	---M--	200	added ('OK')	image/png	etag:%22670a6889-55c4e4%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/Group-666-1.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/Group-666-1.png	(from https://epicunicorn.wpenginepowered.com/)
18:35:00	4975/4975	---M--	200	added ('OK')	image/png	etag:%226704152a-1abf%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/Client-logos-1.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/Client-logos-1.png	(from https://epicunicorn.wpenginepowered.com/)
18:35:01	1740/1740	---M--	200	added ('OK')	image/png	etag:%226704152c-f23%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/Client-logos-3.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/Client-logos-3.png	(from https://epicunicorn.wpenginepowered.com/)
18:35:02	1389/1389	---M--	200	added ('OK')	image/png	etag:%226704152c-bc1%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/Client-logos-4.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/Client-logos-4.png	(from https://epicunicorn.wpenginepowered.com/)
18:35:03	949/949	---M--	200	added ('OK')	image/png	etag:%226704152e-82f%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/Client-logos-8.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/Client-logos-8.png	(from https://epicunicorn.wpenginepowered.com/)
18:35:04	1225/1225	---M--	200	added ('OK')	image/png	etag:%226704152d-a70%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/Client-logos-5.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/Client-logos-5.png	(from https://epicunicorn.wpenginepowered.com/)
18:35:05	1172/1172	---M--	200	added ('OK')	image/png	etag:%226704152d-a2a%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/Client-logos-6.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/Client-logos-6.png	(from https://epicunicorn.wpenginepowered.com/)
18:35:06	879/879	---M--	200	added ('OK')	image/png	etag:%226704152d-69a%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/Client-logos-7.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/Client-logos-7.png	(from https://epicunicorn.wpenginepowered.com/)
18:35:07	2107/2107	---M--	200	added ('OK')	image/png	etag:%22670413c4-106a%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/vertical-lgoo.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/vertical-lgoo.png	(from https://epicunicorn.wpenginepowered.com/)
18:35:08	572/572	---M--	200	added ('OK')	image/png	etag:%226704ff2f-35c%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/Website.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/Website.png	(from https://epicunicorn.wpenginepowered.com/)
18:35:09	334/334	---M--	200	added ('OK')	image/png	etag:%226704fe2c-1c7%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/2024/10/Email.png	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/2024/10/Email.png	(from https://epicunicorn.wpenginepowered.com/)
18:35:10	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264ecd5ef-15601%22	https://epicunicorn.wpenginepowered.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-includes/js/jquery/jquery.minf43b.js	(from https://epicunicorn.wpenginepowered.com/)
18:35:11	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%226482bd64-3509%22	https://epicunicorn.wpenginepowered.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://epicunicorn.wpenginepowered.com/)
18:35:13	274335/274335	---MCZ	200	added ('OK')	application/javascript	etag:W/%226731b8e5-42f9f%22	https://epicunicorn.wpenginepowered.com/wp-content/themes/Divi/js/scripts.min.js?ver=4.27.3	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/themes/Divi/js/scripts.min7b89.js	(from https://epicunicorn.wpenginepowered.com/)
18:35:13	3349/3349	---MCZ	200	added ('OK')	application/javascript	etag:W/%226731b8e5-d15%22	https://epicunicorn.wpenginepowered.com/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/jquery.fitvids.js?ver=4.27.3	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/jquery.fitvids7b89.js	(from https://epicunicorn.wpenginepowered.com/)
18:35:14	22272/22272	---MCZ	200	added ('OK')	application/javascript	etag:W/%226731b8e5-5700%22	https://epicunicorn.wpenginepowered.com/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/magnific-popup.js?ver=4.27.3	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/magnific-popup7b89.js	(from https://epicunicorn.wpenginepowered.com/)
18:35:15	8574/8574	---MCZ	200	added ('OK')	application/javascript	etag:W/%226731b8e5-217e%22	https://epicunicorn.wpenginepowered.com/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/salvattore.js?ver=4.27.3	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/salvattore7b89.js	(from https://epicunicorn.wpenginepowered.com/)
18:35:16	1343/1343	---MCZ	200	added ('OK')	application/javascript	etag:W/%226731b8e5-53f%22	https://epicunicorn.wpenginepowered.com/wp-content/themes/Divi/core/admin/js/common.js?ver=4.27.3	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/themes/Divi/core/admin/js/common7b89.js	(from https://epicunicorn.wpenginepowered.com/)
18:35:17	25444/25444	---M--	200	added ('OK')	font/woff2	etag:%226703f52e-6364%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/useanyfont/2323satoshi.woff2	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/useanyfont/2323satoshi.woff2	(from https://epicunicorn.wpenginepowered.com/wp-content/uploads/useanyfont/uaf.css?ver=1728312622)
18:35:18	33260/33260	---M--	200	added ('OK')	font/woff	etag:%226703f52e-81ec%22	https://epicunicorn.wpenginepowered.com/wp-content/uploads/useanyfont/2323satoshi.woff	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/uploads/useanyfont/2323satoshi.woff	(from https://epicunicorn.wpenginepowered.com/wp-content/uploads/useanyfont/uaf.css?ver=1728312622)
18:35:22	92172/92172	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226731b8e5-1680c%22	http://epicunicorn.wpenginepowered.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	(from https://epicunicorn.wpenginepowered.com/inventnation/)
18:35:24	34350/34350	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226731b8e5-862e%22	http://epicunicorn.wpenginepowered.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	(from https://epicunicorn.wpenginepowered.com/inventnation/)
18:35:24	17652/17652	---MCZ	200	added ('OK')	text/css	etag:W/%22673499a3-44f4%22	https://epicunicorn.wpenginepowered.com/wp-content/et-cache/132/et-divi-dynamic-tb-193-tb-43-132.css?ver=1731500451	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-content/et-cache/132/et-divi-dynamic-tb-193-tb-43-1324e3f.css	(from https://epicunicorn.wpenginepowered.com/inventnation/)
18:35:24	160096/160096	---MCZ	200	added ('OK')	application/json	date:Wed,%2013%20Nov%202024%2017:35:24%20GMT	https://epicunicorn.wpenginepowered.com/wp-json/wp/v2/pages/132	/home/unknown/Documents/Programming/ChrisScrape/archive/wp-json/wp/v2/pages/132.json	(from https://epicunicorn.wpenginepowered.com/inventnation/)
